codigo_ibge;municipio;ano;rendimento_kgha;producao_ton
4301404;Arvorezinha - RS;2022;2410;4338
4301404;Arvorezinha - RS;2023;1962;3630
4301503;Augusto Pestana - RS;2019;3298;64770
4301503;Augusto Pestana - RS;2020;1700;33150
4301503;Augusto Pestana - RS;2021;3660;72102
4301503;Augusto Pestana - RS;2022;608;10416
4301503;Augusto Pestana - RS;2023;1207;24288
4301552;Áurea - RS;2019;3600;23400
4301552;Áurea - RS;2020;2010;13065
4301552;Áurea - RS;2021;3600;22680
4301552;Áurea - RS;2022;1800;12600
4301552;Áurea - RS;2023;3060;21420
4301602;Bagé - RS;2019;1950;78000
4301602;Bagé - RS;2020;1600;64000
4301602;Bagé - RS;2021;2400;96000
4301602;Bagé - RS;2022;2094;87948
4301602;Bagé - RS;2023;1460;61320
4301636;Balneário Pinhal - RS;2019;3000;150
4301636;Balneário Pinhal - RS;2020;2286;160
4301636;Balneário Pinhal - RS;2021;2893;81
4301636;Balneário Pinhal - RS;2022;2400;984
4301636;Balneário Pinhal - RS;2023;2400;1440
4301651;Barão - RS;2019;0;0
4301651;Barão - RS;2020;0;0
4301651;Barão - RS;2021;0;0
4301651;Barão - RS;2022;0;0
4301651;Barão - RS;2023;0;0
